product_code,topic,title,destination_name
101834P3,other,Yogyakarta Historical and Food Tour,yogyakarta
110844P2,other,Small-Group Walking and Food Tour by Night in Yogyakarta,yogyakarta
126668P2,adventure,Menoreh Village Cycling,
126668P3,adventure,Kotagede Royal Route Cycling Tour,
126668P4,adventure,Jogja Hidden Gems Cycling Tour,
190696P5,other,1 day Yogyakarta Tour Jomblang cave and Pindul Cave tubing,yogyakarta
197620P9,adventure,FUN Cycling Tour De Temples,
209224P4,food-wine,Yogyakarta Cooking Class,yogyakarta
209662P2,other,Jomblang Cave and Pindul Cave Tour from Yogyakarta,yogyakarta
209662P6,other,Yogyakarta Bromo Ijen Tour 3 Days,yogyakarta
214335P1,hiking,"Borobudur Sunrise from setumbu Hill , Merapi Volcano & Prambanan Full Day Tour",yogyakarta
214335P21,food-wine,Yogyakarta Cooking Class and Market Tour,yogyakarta
214335P3,other,"Borobudur Climb To The Top, Prambanan Temple And Ramayana Ballet",yogyakarta
214335P5,other,Borobudur Temple Climb To The Top & Prambanan Temple - 1 day tour,yogyakarta
260060P1,other,Yogyakarta: Jomblang Cave Guided Tour with Lunch & Pickup,yogyakarta
260222P1,hiking,"Borobudur, Merapi Volcano and Prambanan Temple Private Tour",yogyakarta
260222P15,other,Yogyakarta to Bali 5 Days Borobudur Bromo and Ijen Tour,yogyakarta
319092P1,other,Athens Cape Sounio ⚠️ CROSS-DESTINATION,
339870P7,hiking,Private Merapi Volcano 4WD Jeep Tour from Yogyakarta,yogyakarta
356790P2,other,Borobudur Full Climb Up And Prambanan ALL INCLUSIVE PRIVATE Tour,yogyakarta
375680P1,other,Yogyakarta: Borobudur Merapi Jeep & Pramban Temple One Day Tour,yogyakarta
378357P8,other,Yogyakarta Shared Tour: Jomblang & Pindul Cave with DRONE Option,yogyakarta
429704P1,other,"Mount Merapi Sunrise , Jomblang cave and Pindul Cave Tour",yogyakarta
429704P2,other,Borobudur ClimbUP guaranteed (sunrise option)& Prambanan Day Tour,yogyakarta
69059P13,hiking,From Yogyakarta: Bromo Sunrise & Ijen Volcano with Bali Drop-off,yogyakarta
69059P7,other,From Yogyakarta: Dieng Plateau Golden Sunrise Private Day Trip,yogyakarta
